;Auctions;Order;obname;agent;Oid;type;dir;price;quty;validity
328;Auctions;##############################;;;;;;;;
329;Auctions;##############################;;;;;;;;
330;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2178.0;-1.0
331;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
332;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
333;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
334;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
335;Auctions;##############################;;;;;;;;
336;Auctions;##############################;;;;;;;;
337;Auctions;##############################;;;;;;;;
338;Auctions;##############################;;;;;;;;
339;Auctions;##############################;;;;;;;;
340;Auctions;Order;lvmh;paul3;1.0;L;A;61.0;0.0;3.0
341;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;88.0;3.0
342;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
343;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
344;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
345;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
346;Auctions;##############################;;;;;;;;
347;Auctions;##############################;;;;;;;;
348;Auctions;##############################;;;;;;;;
349;Auctions;##############################;;;;;;;;
350;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2178.0;-1.0
351;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
352;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
353;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
354;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
355;Auctions;##############################;;;;;;;;
356;Auctions;##############################;;;;;;;;
357;Auctions;##############################;;;;;;;;
358;Auctions;##############################;;;;;;;;
359;Auctions;##############################;;;;;;;;
360;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;0.0;3.0
361;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
362;Auctions;Order;lvmh;paul6;1.0;L;A;62.0;56.0;2.0
363;Auctions;Order;lvmh;buyer;0.0;L;A;100.0;0.0;-1.0
364;Auctions;Order;lvmh;buyer;1.0;L;A;100.0;0.0;-1.0
365;Auctions;##############################;;;;;;;;
366;Auctions;##############################;;;;;;;;
367;Auctions;##############################;;;;;;;;
368;Auctions;##############################;;;;;;;;
369;Auctions;##############################;;;;;;;;
370;Auctions;Order;lvmh;seller;2.0;L;B;120.0;2090.0;-1.0
371;Auctions;Order;lvmh;paul5;1.0;L;B;59.0;36.0;3.0
372;Auctions;Order;lvmh;paul2;2.0;L;B;58.0;13.0;2.0
373;Auctions;Order;lvmh;paul1;1.0;L;B;57.0;33.0;2.0
374;Auctions;Order;lvmh;paul3;2.0;L;B;57.0;94.0;2.0
375;Auctions;##############################;;;;;;;;
376;Auctions;##############################;;;;;;;;
377;Auctions;##############################;;;;;;;;
378;Auctions;##############################;;;;;;;;
379;Auctions;##############################;;;;;;;;
380;Auctions;Order;lvmh;paul5;2.0;L;A;61.0;0.0;3.0
381;Auctions;Order;lvmh;paul1;2.0;L;A;61.0;84.0;3.0
