;Tick;numtick;obname;bestask;bestbid;price;quty;volatility;cum_quty;return;volatility_return
163;Tick;164;lvmh;0.225;0.14;0.225;0;0.4443332850933075;350654;0.0;0.0842495108889053
164;Tick;165;lvmh;0.225;0.14;0.225;0;0.45218777656555176;350654;0.0;0.08399464905444004
165;Tick;166;lvmh;0.225;0.14;0.225;0;0.45970651507377625;350654;0.0;0.0837420858070449
166;Tick;167;lvmh;0.225;0.14;0.225;0;0.466911256313324;350654;0.0;0.08349178680847835
167;Tick;168;lvmh;0.225;0.14;0.225;0;0.47382164001464844;350654;0.0;0.08324371843425553
168;Tick;169;lvmh;0.225;0.14;0.225;0;0.4804556667804718;350654;0.0;0.08299784775468788
169;Tick;170;lvmh;0.225;0.14;0.225;0;0.486829549074173;350654;0.0;0.08275414251653868
170;Tick;171;lvmh;0.225;0.14;0.225;0;0.49295738339424133;350654;0.0;0.08251257112526407
171;Tick;172;lvmh;0.225;0.14;0.225;0;0.49885275959968567;350654;0.0;0.08227310262781905
172;Tick;173;lvmh;0.225;0.14;0.225;0;0.5045279860496521;350654;0.0;0.08203570669601189
173;Tick;174;lvmh;0.225;0.14;0.225;0;0.5099950432777405;350654;0.0;0.08180035361038239
174;Tick;175;lvmh;0.225;0.14;0.225;0;0.5152639150619507;350654;0.0;0.0815670142445877
175;Tick;176;lvmh;0.225;0.14;0.225;0;0.5203443169593811;350654;0.0;0.0813356600502674
176;Tick;177;lvmh;0.225;0.14;0.225;0;0.5252456068992615;350654;0.0;0.0811062630423863
177;Tick;178;lvmh;0.225;0.14;0.195;200;0.529975414276123;350854;0.13333334028720856;0.08087879578502595
178;Tick;179;lvmh;0.225;0.205;0.205;12000;0.5303314924240112;362854;-0.05128208175301552;0.0813587544953506
179;Tick;180;lvmh;0.225;0.205;0.205;0;0.5317872762680054;362854;0.0;0.08119192914311511
180;Tick;181;lvmh;0.225;0.205;0.205;0;0.533190131187439;362854;0.0;0.08096763745444054
181;Tick;182;lvmh;0.225;0.205;0.205;0;0.5345423817634583;362854;0.0;0.08074519415112812
182;Tick;183;lvmh;0.225;0.205;0.205;0;0.5358455181121826;362854;0.0;0.08052457398726155
183;Tick;184;lvmh;0.225;0.139;0.139;37;0.5371012091636658;362891;0.3219512104988098;0.08030575219698977
184;Tick;185;lvmh;0.225;0.199;0.2;1400;0.5361785292625427;364291;-0.43884894251823425;0.08371713192631874
185;Tick;186;lvmh;0.225;0.199;0.2;0;0.536846935749054;364291;0.0;0.08932088602706963
186;Tick;187;lvmh;0.225;0.199;0.2;0;0.5374844670295715;364291;0.0;0.0890818190258785
